Del_MAP	psi	nC_MAP	p_MAP
3.34	0.001	9	0.0223987147172882
3.35	0.001	9	0.0223755001241427
3.36	0.001	9	0.0223523058286415
3.37	0.001	9	0.0223291318174395
3.38	0.001	9	0.0223059780771956
3.39	0.001	9	0.0222828445945726
3.4	0.001	9	0.0222597313562375
3.41	0.001	9	0.0222366383488608
3.42	0.001	9	0.0222135655591175
3.43	0.001	9	0.0221905129736863
3.44	0.001	9	0.0221674805792499
3.45	0.001	9	0.0221444683624951
3.46	0.001	9	0.0221214763101127
3.47	0.001	9	0.0220985044087974
3.48	0.001	9	0.0220755526452479
3.49	0.001	9	0.0220526210061671
3.5	0.001	9	0.0220297094782618
3.51	0.001	9	0.0220068180482428
3.52	0.001	9	0.0219839467028248
3.53	0.001	9	0.0219610954287269
3.54	0.001	9	0.0219382642126719
3.55	0.001	9	0.0219154530413867
3.56	0.001	9	0.0218926619016023
3.57	0.001	9	0.0218698907800538
3.58	0.001	9	0.0218471396634802
3.59	0.001	9	0.0218244085386246
3.6	0.001	9	0.0218016973922344
3.61	0.001	9	0.0217790062110606
3.62	0.001	9	0.0217563349818586
3.63	0.001	9	0.0217336836913879
3.64	0.001	9	0.0217110523264118
3.65	0.001	9	0.0216884408736978
3.66	0.001	9	0.0216658493200178
3.67	0.001	9	0.0216432776521471
3.68	0.001	9	0.0216207258568658
3.69	0.001	9	0.0215981939209577
3.7	0.001	9	0.0215756818312107
3.71	0.001	9	0.0215531895744169
3.72	0.001	9	0.0215307171373726
3.73	0.001	9	0.0215082645068779
3.74	0.001	9	0.0214858316697373
3.75	0.001	9	0.0214634186127594
3.76	0.001	9	0.0214410253227568
3.77	0.001	9	0.0214186517865461
3.78	0.001	9	0.0213962979909484
3.79	0.001	9	0.0213739639227887
3.8	0.001	9	0.021351649568896
3.81	0.001	9	0.0213293549161037
3.82	0.001	9	0.0213070799512493
3.83	0.001	9	0.0212848246611743
3.84	0.001	9	0.0212625890327245
3.85	0.001	9	0.0212403730527497
3.86	0.001	9	0.0212181767081041
3.87	0.001	9	0.0211959999856458
3.88	0.001	9	0.0211738428722371
3.89	0.001	9	0.0211517053547448
3.9	0.001	9	0.0211295874200394
3.91	0.001	9	0.021107489054996
3.92	0.001	9	0.0210854102464935
3.93	0.001	9	0.0210633509814152
3.94	0.001	9	0.0210413112466487
3.95	0.001	9	0.0210192910290855
3.96	0.001	9	0.0209972903156215
3.97	0.001	9	0.0209753090931567
3.98	0.001	9	0.0209533473485954
3.99	0.001	9	0.0209314050688461
4	0.001	9	0.0209094822408214
4.01	0.001	9	0.0208875788514383
4.02	0.001	9	0.0208656948876177
4.03	0.001	9	0.020843830336285
4.04	0.001	9	0.0208219851843699
4.05	0.001	9	0.0208001594188061
4.06	0.001	9	0.0207783530265315
4.07	0.001	9	0.0207565659944885
4.08	0.001	9	0.0207347983096235
4.09	0.001	9	0.0207130499588872
4.1	0.001	9	0.0206913209292348
4.11	0.001	9	0.0206696112076253
4.12	0.001	9	0.0206479207810224
4.13	0.001	9	0.0206262496363937
4.14	0.001	9	0.0206045977607112
4.15	0.001	9	0.0205829651409513
4.16	0.001	9	0.0205613517640946
4.17	0.001	9	0.0205397576171257
4.18	0.001	9	0.0205181826870338
4.19	0.001	9	0.0204966269608124
4.2	0.001	9	0.0204750904254591
4.21	0.001	9	0.0204535730679758
4.22	0.001	9	0.0204320748753689
4.23	0.001	9	0.0204105958346487
4.24	0.001	9	0.0203891359328303
4.25	0.001	9	0.0203676951569327
4.26	0.001	9	0.0203462734939793
4.27	0.001	9	0.020324870930998
4.28	0.001	9	0.0203034874550209
4.29	0.001	9	0.0202821230530842
4.3	0.001	9	0.0202607777122288
4.31	0.001	9	0.0202394514194996
4.32	0.001	9	0.0202181441619461
4.33	0.001	9	0.0201968559266219
4.34	0.001	9	0.020175586700585
4.35	0.001	9	0.0201543364708979
4.36	0.001	9	0.0201331052246271
4.37	0.001	9	0.0201118929488438
4.38	0.001	9	0.0200906996306234
4.39	0.001	9	0.0200695252570457
4.4	0.001	9	0.0200483698151946
4.41	0.001	9	0.0200272332921588
4.42	0.001	9	0.0200061156750309
4.43	0.001	9	0.0199850169509083
4.44	0.001	9	0.0199639371068925
4.45	0.001	9	0.0199428761300893
4.46	0.001	9	0.0199218340076092
4.47	0.001	9	0.0199008107265668
4.48	0.001	9	0.0198798062740812
4.49	0.001	9	0.0198588206372758
4.5	0.001	9	0.0198378538032785
4.51	0.001	9	0.0198169057592216
4.52	0.001	9	0.0197959764922416
4.53	0.001	9	0.0197750659894796
4.54	0.001	9	0.0197541742380811
4.55	0.001	9	0.0197333012251959
4.56	0.001	9	0.0197124469379782
4.57	0.001	9	0.0196916113635867
4.58	0.001	9	0.0196707944891846
4.59	0.001	9	0.0196499963019392
4.6	0.001	9	0.0196292167890226
4.61	0.001	9	0.0196084559376111
4.62	0.001	9	0.0195877137348855
4.63	0.001	9	0.019566990168031
4.64	0.001	9	0.0195462852242372
4.65	0.001	9	0.0195255988906983
4.66	0.001	9	0.0195049311546128
4.67	0.001	9	0.0194842820031836
4.68	0.001	9	0.0194636514236183
4.69	0.001	9	0.0194430394031286
4.7	0.001	9	0.019422445928931
4.71	0.001	9	0.0194018709882463
4.72	0.001	9	0.0193813145682997
4.73	0.001	9	0.0193607766563209
4.74	0.001	9	0.0193402572395441
4.75	0.001	9	0.0193197563052081
