psi	res
62	0.000302093854597896
63	-0.00247590614540205
63	-0.00130190614540204
63	-0.00133290614540205
63	-0.00207090614540206
63	-0.000135906145402043
63	3.09385459795752e-06
63	-0.000359906145402045
63	1.10938545979655e-05
63	-0.000240906145402064
63	0.000414093854597897
64	-0.00247990614540206
64	-0.00125090614540213
64	-0.00126090614540209
64	-0.00194290614540205
64	-6.49061454021105e-05
64	9.20938545979633e-05
64	-0.000275906145402072
64	0.000152093854597912
64	-0.000146906145402026
64	0.000449093854597904
65	-0.00241790614540205
65	-0.00109890614540209
65	-0.00120990614540206
65	-0.0018829061454021
65	-6.09061454021065e-05
65	0.000171093854597903
65	-0.000164906145402099
65	0.000274093854597868
65	-0.000107906145402126
65	0.000577093854597921
66	-0.00230990614540205
66	-0.00103390614540211
66	-0.00117290614540211
66	-0.00181890614540203
66	4.70938545978905e-05
66	0.000214093854597919
66	-5.99061454020777e-05
66	0.000361093854597927
66	2.30938545978665e-05
66	0.000708093854597913
67	-0.00221190614540212
67	-0.000966906145402069
67	-0.00109490614540209
67	-0.00181490614540203
67	9.90938545979425e-05
67	0.00029909385459792
67	7.09385459796152e-06
67	0.000426093854597909
67	6.109385459796e-05
67	0.000785093854597907
68	-0.00212090614540206
68	-0.000911906145402042
68	-0.00101990614540204
68	-0.00173090614540206
68	0.000194093854597899
68	0.000413093854597868
68	8.30938545979265e-05
68	0.000494093854597977
68	0.000149093854597937
68	0.000849093854597971
69	-0.00209590614540212
69	-0.000804906145402073
69	-0.000961906145402036
69	-0.00162790614540209
69	0.000298093854597892
69	0.000480093854597907
69	0.000151093854597883
69	0.000554093854597926
69	0.000204093854597964
69	0.000913093854597924
70	-0.00201890614540212
70	-0.000722906145402047
70	-0.000937906145402123
70	-0.00155190614540213
70	0.000358093854597952
70	0.000572093854597888
70	0.000152093854597912
70	0.000622093854597883
70	0.000333093854597899
70	0.000957093854597968
71	-0.0019679061454021
71	-0.000648906145402028
71	-0.000876906145402034
71	-0.00152990614540205
71	0.000400093854597938
71	0.000620093854597936
71	0.000181093854597969
71	0.000719093854597896
71	0.000417093854597872
71	0.00102309385459787
72	-0.00191490614540213
72	-0.000587906145402051
72	-0.000794906145402119
72	-0.00146090614540206
72	0.000527093854597926
72	0.000654093854597915
72	0.00025909385459788
72	0.000755093854597932
72	0.00051809385459789
72	0.00108309385459793
73	-0.00184690614540206
73	-0.00050890614540211
73	-0.000703906145402056
73	-0.00138090614540209
73	0.000535093854597934
73	0.000680093854597885
73	0.000333093854597899
73	0.00081009385459796
73	0.000540093854597967
73	0.00107109385459792
74	-0.0017979061454021
74	-0.000463906145402038
74	-0.000652906145402032
74	-0.00135590614540204
74	0.000616093854597932
74	0.0007500938545979
74	0.000369093854597935
74	0.000825093854597947
74	0.000661093854597894
74	0.00111109385459796
75	-0.00177990614540213
75	-0.000418906145402076
75	-0.00060190614540212
75	-0.0012499061454021
75	0.000675093854597963
75	0.000874093854597913
75	0.000390093854597873
75	0.000900093854597883
75	0.000772093854597866
75	0.00118009385459794
76	-0.00176190614540206
76	-0.000368906145402081
76	-0.00050890614540211
76	-0.00117690614540211
76	0.000736093854597941
76	0.000920093854597903
76	0.000454093854597937
76	0.000987093854597942
76	0.000850093854597889
76	0.00124509385459792
77	-0.00167390614540208
77	-0.000335906145402132
77	-0.000547906145402122
77	-0.00112390614540203
77	0.000795093854597972
77	0.000916093854597899
77	0.00053809385459791
77	0.0010280938545979
77	0.000896093854597879
77	0.0013370938545979
78	-0.00161790614540203
78	-0.000308906145402132
78	-0.000520906145402122
78	-0.00109090614540208
78	0.000920093854597903
78	0.000993093854597893
78	0.000569093854597913
78	0.00101709385459792
78	0.000946093854597874
78	0.00138809385459793
79	-0.00152290614540207
79	-0.000239906145402036
79	-0.000500906145402102
79	-0.00109690614540203
79	0.000934093854597973
79	0.00102109385459792
79	0.000602093854597974
79	0.00107109385459792
79	0.000974093854597902
79	0.0014410938545979
80	-0.00147890614540203
80	-0.00021690614540204
80	-0.000451906145402026
80	-0.00102690614540213
80	0.00106009385459793
80	0.00102909385459793
80	0.000668093854597873
80	0.00110309385459795
80	0.0010240938545979
80	0.00149609385459792
81	-0.0013849061454021
81	-0.000145906145402108
81	-0.000461906145402091
81	-0.000955906145402086
81	0.00107309385459797
81	0.00106409385459794
81	0.000678093854597939
81	0.00112009385459788
81	0.00105309385459795
81	0.00152509385459787
82	-0.00132290614540209
82	-0.000103906145402122
82	-0.000405906145402035
82	-0.000918906145402132
82	0.00111509385459796
82	0.00107109385459792
82	0.00074309385459792
82	0.00115109385459788
82	0.0010860938545979
82	0.00156109385459791
83	-0.00125190614540205
83	-3.39061454021072e-05
83	-0.000409906145402039
83	-0.000855906145402097
83	0.00117709385459797
83	0.00108709385459793
83	0.00071709385459795
83	0.0011940938545979
83	0.00105609385459793
83	0.00155509385459796
84	-0.00117090614540205
84	5.60938545979273e-05
84	-0.000351906145402037
84	-0.00087290614540203
84	0.00120209385459791
84	0.00109209385459796
84	0.000728093854597933
84	0.00122409385459787
84	0.00110509385459789
84	0.00161609385459793
85	-0.00111490614540211
85	4.9093854597948e-05
85	-0.000332906145402045
85	-0.00082690614540204
85	0.00123709385459791
85	0.00114209385459796
85	0.000764093854597969
85	0.00130809385459796
85	0.00115809385459797
85	0.0016070938545979
86	-0.00106190614540203
86	7.20938545979433e-05
86	-0.000297906145402038
86	-0.000822906145402036
86	0.00120209385459791
86	0.00116609385459787
86	0.000826093854597976
86	0.0013640938545979
86	0.00120809385459797
86	0.00163209385459795
87	-0.00106790614540209
87	8.30938545979265e-05
87	-0.000242906145402122
87	-0.000774906145402099
87	0.00127709385459795
87	0.00110309385459795
87	0.000843093854597909
87	0.00137209385459791
87	0.00125309385459793
87	0.0016960938545979
88	-0.000966906145402069
88	9.3093854597881e-05
88	-0.000201906145402053
88	-0.00072790614540208
88	0.00128609385459788
88	0.00114409385459791
88	0.000887093854597953
88	0.00142709385459794
88	0.00126509385459794
88	0.00178409385459788
89	-0.000874906145402088
89	0.000102093854597918
89	-0.000182906145402062
89	-0.000696906145402076
89	0.00135509385459787
89	0.00124609385459795
89	0.000858093854597897
89	0.00147409385459796
89	0.00129809385459789
89	0.00180909385459793
90	-0.000856906145402125
90	0.000141093854597929
90	-0.000118906145402109
90	-0.000632906145402123
90	0.00136309385459787
90	0.00120009385459796
90	0.000918093854597957
90	0.00155809385459793
90	0.00125709385459793
90	0.00183209385459793
