Del_FPP	alpha0	nC_FPP	p_FPP
6.66	1	10	0.0142691025917336
6.67	1	10	0.0142468917153864
6.68	1	10	0.0142247106259464
6.69	1	10	0.0142025592917814
6.7	1	10	0.014180437681279
6.71	1	10	0.0141583457628472
6.72	0.951270376798323	10	0.0144905878446398
6.73	0.904552873079748	10	0.01484223072691
6.74	0.860005660890416	10	0.0152121892470643
6.75	0.817413505850829	10	0.0156023732041171
6.76	0.776434683918697	10	0.0160166236134946
6.77	0.736747352147416	10	0.0164597572325859
6.78	0.697961568060283	10	0.0169389712401579
6.79	0.659668849351167	10	0.0174640035733863
6.8	0.621229304706295	10	0.0180515768522294
6.81	0.58163759681332	10	0.0187313345669709
6.82	0.53876189102989	10	0.0195693961902675
6.83	0.484690074256339	10	0.0208133158074308
6.83	1	11	0.0139037429247946
6.84	1	11	0.0138821335817462
6.85	1	11	0.0138605532053987
6.86	1	11	0.0138390017649304
6.87	1	11	0.0138174792295395
6.88	1	11	0.0137959855684441
6.89	1	11	0.0137745207508821
6.9	1	11	0.0137530847461112
6.91	1	11	0.013731677523409
6.92	1	11	0.0137102990520733
6.93	1	11	0.0136889493014212
6.94	1	11	0.0136676282407901
6.95	1	11	0.0136463358395371
6.96	1	11	0.0136250720670395
6.97	1	11	0.0136038368926942
6.98	1	11	0.0135826302859181
6.99	1	11	0.0135614522161481
7	1	11	0.013540302652841
7.01	1	11	0.0135191815654736
7.02	1	11	0.0134980889235425
7.03	1	11	0.0134770246965645
7.04	1	11	0.013455988854076
7.05	1	11	0.0134349813656338
7.06	1	11	0.0134140022008144
7.07	1	11	0.0133930513292142
7.08	1	11	0.01337212872045
7.09	1	11	0.0133512343441582
7.1	1	11	0.0133303681699954
7.11	1	11	0.0133095301676382
7.12	1	11	0.013288720306783
7.13	1	11	0.0132679385571467
7.14	1	11	0.0132471848884657
7.15	1	11	0.0132264592704969
7.16	1	11	0.0132057616730168
7.17	1	11	0.0131850920658224
7.18	1	11	0.0131644504187304
7.19	1	11	0.0131438367015778
7.2	1	11	0.0131232508842216
7.21	1	11	0.0131026929365388
7.22	1	11	0.0130821628284266
7.23	1	11	0.0130616605298022
7.24	1	11	0.0130411860106029
7.25	1	11	0.0130207392407863
7.26	1	11	0.0130003201903298
7.27	1	11	0.0129799288292311
7.28	1	11	0.0129595651275081
7.29	1	11	0.0129392290551987
7.3	1	11	0.0129189205823608
7.31	1	11	0.0128986396790727
7.32	1	11	0.0128783863154329
7.33	1	11	0.0128581604615596
7.34	1	11	0.0128379620875918
7.35	1	11	0.012817791163688
7.36	1	11	0.0127976476600274
7.37	1	11	0.0127775315468091
7.38	1	11	0.0127574427942524
7.39	1	11	0.012737381372597
7.4	1	11	0.0127173472521026
7.41	1	11	0.012697340403049
7.42	1	11	0.0126773607957364
7.43	1	11	0.0126574084004852
7.44	1	11	0.0126374831876359
7.45	1	11	0.0126175851275494
7.46	1	11	0.0125977141906066
7.47	1	11	0.0125778703472088
7.48	1	11	0.0125580535677774
7.49	1	11	0.0125382638227543
7.5	1	11	0.0125185010826013
7.51	1	11	0.0124987653178008
7.52	1	11	0.0124790564988552
7.53	1	11	0.0124593745962872
7.54	1	11	0.0124397195806399
7.55	1	11	0.0124200914224765
7.56	1	11	0.0124004900923808
7.57	1	11	0.0123809155609564
7.58	1	11	0.0123613677988276
7.59	1	11	0.0123418467766389
7.6	1	11	0.0123223524650548
7.61	1	11	0.0123028848347606
7.62	1	11	0.0122834438564616
7.63	1	11	0.0122640295008834
7.64	1	11	0.012244641738772
7.65	1	11	0.0122252805408938
7.66	1	11	0.0122059458780354
7.67	1	11	0.0121866377210038
7.68	1	11	0.0121673560406263
7.69	1	11	0.0121481008077505
7.7	1	11	0.0121288719932444
7.71	1	11	0.0121096695679965
7.72	1	11	0.0120904935029154
7.73	1	11	0.0120713437689302
7.74	1	11	0.0120522203369904
7.75	1	11	0.0120331231780656
7.76	1	11	0.0120140522631462
7.77	1	11	0.0119950075632427
7.78	1	11	0.011975989049386
7.79	1	11	0.0119569966926275
7.8	1	11	0.0119380304640388
7.81	1	11	0.0119190903347121
7.82	1	11	0.0119001762757599
7.83	1	11	0.0118812882583151
7.84	1	11	0.0118624262535311
7.85	1	11	0.0118435902325815
7.86	1	11	0.0118247801666605
7.87	1	11	0.0118059960269827
7.88	1	11	0.0117872377847831
7.89	1	11	0.011768505411317
