Del_APP	delta0	nC_APP	p_APP
2.83	0	10	0.0223618706381238
2.84	0	10	0.0223363748527348
2.85	0	10	0.0223109027427209
2.86	0	10	0.0222854542936076
2.87	0	10	0.0222600294909191
2.88	0	10	0.0222346283201778
2.89	0	10	0.0222092507669054
2.9	0	10	0.0221838968166217
2.91	0	10	0.0221585664548452
2.92	0	10	0.0221332596670935
2.93	0	10	0.0221079764388825
2.94	0	10	0.0220827167557269
2.95	0	10	0.0220575927422558
2.96	0	10	0.0220327547890035
2.97	0	10	0.0220079396523189
2.98	0	10	0.0219831473181899
2.99	0	10	0.0219583777726031
3	0	10	0.0219336310015451
3.01	0	10	0.0219132607645281
3.02	0	10	0.0219039093220707
3.03	0	10	0.0218945510262694
3.04	0	10	0.0218851858885447
3.05	0	10	0.0218758139203273
3.06	0	10	0.021866551895807
3.07	0	10	0.0218575759618775
3.08	0	10	0.0218485929624412
3.09	0	10	0.021839602909177
3.1	0	10	0.021830605813774
3.11	0	10	0.0218216016879319
3.12	0	10	0.0218125905433602
3.13	0	10	0.0217941465309985
3.14	0	10	0.0217727793107178
3.15	0	10	0.0217514261503141
3.16	0	10	0.0217300870516088
3.17	0	10	0.0217089453956867
3.18	0	10	0.0217025394015081
3.19	0	10	0.0217035810126926
3.2	0	10	0.0217046567051417
3.21	0	10	0.0217057238786351
3.22	0	10	0.0217067825267937
3.23	0	10	0.0217078326432534
3.24	0	10	0.0217039136237267
3.25	0	10	0.0216948123058403
3.26	0	10	0.0216857041342135
3.27	0	10	0.0216633150547069
3.28	0	10	0.0216389016822975
3.29	0	10	0.0216145112428253
3.3	0	10	0.0215901437221652
3.31	0	10	0.0215701968972693
3.32	0	10	0.0215464568784946
3.33	0	10	0.0215227369517148
3.34	0	10	0.0214990371086914
3.35	0	10	0.0214753573411762
3.36	0	10	0.0214649179254151
3.37	0	10	0.0214518731767012
3.38	0	10	0.0214279804566466
3.39	0	10	0.0214041085310758
3.4	0	10	0.0213802573902907
3.41	0	10	0.021356427024585
3.42	0	10	0.0213326174242446
3.43	0	10	0.0213088285795478
3.44	0	10	0.0212850604807647
3.45	0	10	0.0212613131181578
3.46	0	10	0.0212375864819816
3.47	0	10	0.021213880562483
3.48	0	10	0.021190195349901
3.49	0	10	0.0211665339982308
3.5	0	10	0.0211432648088674
3.51	0	10	0.0211242691082834
3.52	0	10	0.0211004624287384
3.53	0	10	0.0210766770136724
3.54	0	10	0.0210529128520897
3.55	0	10	0.0210490197525786
3.56	0	10	0.0210560972435538
3.57	0	10	0.0210632253209662
3.58	0	10	0.0210686895220896
3.59	0	10	0.0210603020198524
3.6	0	10	0.0210519069331315
3.61	0	10	0.0210435042733069
3.62	0	10	0.0210350940517699
3.63	0	10	0.0210266762799226
3.64	0	10	0.0210182509691781
3.65	0	10	0.0210098181309602
3.66	0	10	0.0210013777767038
3.67	0	10	0.0209813635603442
3.68	0	10	0.020960330260877
3.69	0	10	0.0209393168000649
3.7	0	10	0.0209183231623617
3.71	0	10	0.0208973493322287
3.72	0	10	0.0208866494190094
3.73	0	10	0.0208797562201281
3.74	0	10	0.0208728549500139
3.75	0	10	0.0208659456165842
3.76	0	10	0.0208590282277719
3.77	0	10	0.0208521027915255
3.78	0	10	0.0208451693158091
3.79	0	10	0.0208382278086024
3.8	0	10	0.0208312782779003
3.81	0	10	0.0208243207317137
3.82	0	10	0.0208173551780685
3.83	0	10	0.0208103816250062
3.84	0	10	0.0208035890436699
3.85	0	10	0.0207973106993616
3.86	0	10	0.0207910238902874
3.87	0	10	0.0207847286247673
3.88	0	10	0.0207784249111361
3.89	0	10	0.0207689504929544
3.9	0	10	0.0207487930180111
3.91	0	10	0.0207286489875706
3.92	0	10	0.0207085184031035
3.93	0	10	0.0206957164372617
3.94	0	10	0.0207024059784512
3.95	0	10	0.0207090964990614
3.96	0	10	0.0206972826013441
3.97	0	10	0.0206737561329774
3.98	0	10	0.0206502510670363
3.99	0	10	0.0206267673916842
4	0	10	0.0206033050950805
4.01	0	10	0.0205798641653798
4.02	0	10	0.0205564445907327
4.03	0	10	0.0205330463592853
4.04	0	10	0.0205096694591794
4.05	0	10	0.0204863138785526
4.06	0	10	0.0204629796055383
4.07	0	10	0.0204396666282656
4.08	0	10	0.0204163749348595
4.09	0	10	0.0203931045134404
4.1	0	10	0.0203698553521251
4.11	0	10	0.0203466274390258
4.12	0	10	0.0203234207622508
4.13	0	10	0.0203002353099042
4.14	0	10	0.0202770710700861
4.15	0	10	0.0202539280308924
4.16	0	10	0.0202308061804149
4.17	0	10	0.0202077055067416
4.18	0	10	0.0201846259979561
4.19	0	10	0.0201615676421385
4.2	0	10	0.0201385304273644
4.21	0	10	0.0201155143417058
4.22	0	10	0.0200925193732307
4.23	0	10	0.0200699349971527
4.24	0	10	0.0200494746155954
4.25	0	10	0.0200290282390247
4.26	0	10	0.0200137522306115
4.27	0	10	0.0200099195195353
4.28	0	10	0.0200060778649598
4.29	0	10	0.0200022272697057
4.3	0	10	0.0199983677366127
4.31	0	10	0.0199944992685385
4.32	0	10	0.019982204709963
4.33	0	10	0.0199590019756421
4.34	0	10	0.01993618567053
4.35	0	10	0.0199137020801599
4.36	0	10	0.019891240343738
4.37	0	10	0.0198808930090716
4.38	0	10	0.0198869122245897
4.39	0	10	0.019892936331871
4.4	0	10	0.019891255225627
4.41	0	10	0.0198721948974081
4.42	0	10	0.0198531529951679
4.43	0	10	0.0198341295040716
4.44	0	10	0.0198151244092919
4.45	0	10	0.0197961376960096
4.46	0	10	0.0197735363739231
4.47	0	10	0.0197505892319674
4.48	0	10	0.0197276638551513
4.49	0	10	0.019704760229754
4.5	0	10	0.019681878342054
4.51	0	10	0.0196590181783283
4.52	0	10	0.0196362260178169
4.53	0	10	0.0196141471328336
4.54	0	10	0.0195920893707101
4.55	0	10	0.0195700527178841
4.56	0	10	0.019551789950565
4.57	0	10	0.0195577339942881
4.58	0	10	0.0195538728842919
4.59	0	10	0.0195351423514197
4.6	0	10	0.0195164299697724
4.61	0	10	0.0194977357246797
4.62	0	10	0.0194790596014788
4.63	0	10	0.019460401585515
4.64	0	10	0.0194417616621411
4.65	0	10	0.0194231398167179
4.66	0	10	0.0194045360346139
4.67	0	10	0.0193859503012055
4.68	0	11	0.0191800095955094
4.69	0	11	0.019163727248412
4.7	0	11	0.0191474617253754
4.71	0	11	0.0191312916895171
4.72	0	11	0.0191155528272406
4.73	0	11	0.0190958502929581
4.74	0	11	0.0190730857985266
4.75	0	11	0.0190503436265092
4.76	0	11	0.0190276237620886
4.77	0	11	0.0190155583867811
